brand,product_name,price,currency,source,url,timestamp,sold_count,crawl_date,crawl_hour
['ASUS'],"Laptop Asus TUF Gaming F16 FX607VJ - RL034W (Core 5 210H, 16GB, 512GB, RTX 3050 6GB, Full HD+ 144Hz, Win11)",22490000,VND,thegioididong,https://www.thegioididong.com/laptop/asus-tuf-gaming-f16-fx607vj-core-5-rl034w,2025-11-23 12:24:04,10000.0,2025-11-23,12
['LENOVO'],"Laptop Lenovo Gaming LOQ 15IAX9 - 83GS000JVN (i5 12450HX, 16GB, 512GB, RTX 3050 6GB, Full HD 144Hz, Win11)",21890000,VND,thegioididong,https://www.thegioididong.com/laptop/lenovo-loq-gaming-15iax9-i5-83gs000jvn,2025-11-23 12:24:04,55000.0,2025-11-23,12
['LENOVO'],"Laptop Lenovo Gaming Legion 5 15IAX10 - 83F0003BVN (Ultra 7 255HX, 32GB, 1TB, RTX 5070 8GB, WQXGA OLED 165Hz, OfficeH24, Win11)",51090000,VND,thegioididong,https://www.thegioididong.com/laptop/lenovo-legion-5-15iax10-ultra-7-255hx-83f0003bvn,2025-11-23 12:24:04,30.0,2025-11-23,12
['GIGABYTE'],"Laptop GIGABYTE Gaming G5 MF5 RC555 - 9RC55MF5FEIAA1VN0C0 (i5 13500H, 16GB, 512GB, RTX 4050 6GB, Full HD 144Hz, Win11)",20790000,VND,thegioididong,https://www.thegioididong.com/laptop/gigabyte-g5-mf5-rc555-i5-9rc55mf5feiaa1vn0c0,2025-11-23 12:24:04,2040.0,2025-11-23,12
['HP'],"Laptop HP Envy x360 14 fc0162TU - AY8X1PA (Ultra 5 125U, 16GB, 512GB, 2.8K OLED, Cảm ứng, OfficeHS, Win11)",25890000,VND,thegioididong,https://www.thegioididong.com/laptop/hp-envy-x360-14-fc0162tu-ultra-5-ay8x1pa,2025-11-23 12:24:05,4790.0,2025-11-23,12
['LENOVO'],"Laptop Lenovo Gaming LOQ 15IRX9 - 83DV01AMVN (i7 13650HX, 16GB, 1TB, RTX 4050 6GB, Full HD 144Hz, Win11)",29290000,VND,thegioididong,https://www.thegioididong.com/laptop/lenovo-gaming-loq-15irx9-i7-83dv01amvn,2025-11-23 12:24:05,1450.0,2025-11-23,12
['ASUS'],"Laptop Asus Gaming V16 V3607VM - RP044W (Core 7 240H, 16GB, 1TB, RTX 5060 8GB, WUXGA 144Hz, Win11)",34390000,VND,thegioididong,https://www.thegioididong.com/laptop/asus-gaming-v16-v3607vm-core-7-rp044w,2025-11-23 12:24:05,490.0,2025-11-23,12
['LENOVO'],"Laptop Lenovo ThinkBook 14 - 21SJ006YVN (Ultra 7 255H, 32GB, 1TB, WUXGA, Win11)",30290000,VND,thegioididong,https://www.thegioididong.com/laptop/lenovo-thinkbook-14-ultra-7-21sj006yvn,2025-11-23 12:24:05,520.0,2025-11-23,12
['MSI'],"Laptop MSI Modern 15 B12MO - 625VN (i5 1235U, 8GB, 512GB, Full HD, Win11)",11490000,VND,thegioididong,https://www.thegioididong.com/laptop/msi-modern-15-b12mo-i5-625vn,2025-11-23 12:24:05,21000.0,2025-11-23,12
['MSI'],"Laptop MSI Prestige 14 AI+ Evo C2VMG - 020VN (Ultra 7 258V, 32GB, 1TB, 2.8K OLED 120Hz, Win11)",39090000,VND,thegioididong,https://www.thegioididong.com/laptop/msi-prestige-14-ai-evo-c2vmg-ultra-7-020vn,2025-11-23 12:24:07,20.0,2025-11-23,12
